min_salary,remote_allowed,formatted_experience_level,location,employee_count,industries,company
125000.0,1.0,Mid-Senior level,"Redding, CA",358.0,Financial Services,J. Galt
125000.0,1.0,Mid-Senior level,"Concord, NH",358.0,Financial Services,J. Galt
125000.0,1.0,Mid-Senior level,"Greenville-Spartanburg-Anderson, South Carolina Area",358.0,Financial Services,J. Galt
,,,New York City Metropolitan Area,103.0,IT Services and IT Consulting,Echo IT Solutions
,1.0,,"Chicago, IL",0.0,Consumer Services,Carrectly Auto Care
,,Entry level,"Artesia, NM",0.0,Oil and Gas,"Enertech Wireline Services, L.P."
125000.0,1.0,Mid-Senior level,"Fayetteville, AR",358.0,Financial Services,J. Galt
125000.0,1.0,Mid-Senior level,"Augusta, ME",358.0,Financial Services,J. Galt
,,Associate,"Vancouver, WA",2088.0,Real Estate,FPI Management
,,Associate,"Vancouver, WA",2088.0,Real Estate,FPI Management
144591.0,,Entry level,"San Francisco, CA",737.0,Travel Arrangements,FareHarbor
,,,New York City Metropolitan Area,,,
25.21,1.0,Entry level,United States,1836.0,Motor Vehicle Manufacturing,Mazda North American Operations
,,Associate,"Stockbridge, GA",2917.0,Financial Services,DriveTime
60000.0,,,"Fountain Valley, CA",31.0,Retail Apparel and Fashion,The Hang Loose Hut
125000.0,1.0,Mid-Senior level,"Knoxville, TN",358.0,Financial Services,J. Galt
115000.0,,Mid-Senior level,"Conroe, TX",89.0,Staffing and Recruiting,Prospect Health
,,Associate,"Bellflower, CA",2088.0,Real Estate,FPI Management
20.0,,Entry level,"Healdsburg, CA",21.0,Hospitals and Health Care,Enso Village
16.6,,Entry level,"Torrance, CA",2195.0,Hospitals and Health Care,Torrance Memorial
,1.0,,"Memphis, TN",0.0,Real Estate,Memphis Prime Properties
,1.0,,United States,20.0,Non-profit Organizations,Outreach360
36.0,,Mid-Senior level,"Pleasant Hill, MO",1101.0,Hospitals and Health Care,Professional Case Management
,,Entry level,"McAllen, TX",1461.0,Financial Services,Security Service Federal Credit Union
,,Mid-Senior level,"Orlando, FL",4854.0,Restaurants,Checkers & Rally’s Drive-In Restaurants
,,,"Phoenix, AZ",5.0,Real Estate,VIAONE Commercial Real Estate & Development
165000.0,,Mid-Senior level,"Menlo Park, CA",341.0,Biotechnology Research,Corcept Therapeutics
,1.0,,United States,7.0,Human Resources Services,Jobsrefer Indonesia
,1.0,Associate,United States,273.0,Personal Care Product Manufacturing,Sunday Riley
,,,"Healdsburg, CA",21.0,Hospitals and Health Care,Enso Village
,,Mid-Senior level,"Oklahoma City, OK",225.0,Venture Capital and Private Equity Principals,CSC Generation
9651.0,,Entry level,"Napa, CA",2348.0,Hospitals and Health Care,California Department of State Hospitals
,,,"Charlottesville, VA",462.0,Research,National Radio Astronomy Observatory
,,Entry level,"Pensacola, FL",18914.0,Financial Services,Navy Federal Credit Union
30.0,,Mid-Senior level,"Cupertino, CA",2256.0,Entertainment Providers,Bowlero Corporation
67000.0,1.0,Mid-Senior level,"Fort Mill, SC",14290.0,Financial Services,First American
125000.0,1.0,Mid-Senior level,"Ithaca, NY",358.0,Financial Services,J. Galt
70000.0,,Mid-Senior level,"Broomfield, CO",75307.0,Accounting,Danone
90000.0,,,"Grand Rapids metropolitan area, MI",263.0,Hospitality,Gecko Hospitality (Corporate)
,,Mid-Senior level,"Fairview, OR",815.0,Education Administration Programs,Reynolds School District
,,Mid-Senior level,"Gilbert, AZ",89.0,Staffing and Recruiting,Prospect Health
65000.0,,,"Portland, OR",51.0,Advertising Services,The Program
,1.0,,United States,5.0,Staffing and Recruiting,OCMI
22.8,,Mid-Senior level,"St George, UT",29607.0,Hospitals and Health Care,Intermountain Health
60000.0,,Mid-Senior level,"Orange City, IA",8016.0,Food and Beverage Manufacturing,Smithfield Foods
,,Mid-Senior level,"Malvern, PA",34379.0,Hospitals and Health Care,DaVita Kidney Care
,,Director,"Tempe, AZ",2917.0,Financial Services,DriveTime
,,,"Green Bank, WV",462.0,Research,National Radio Astronomy Observatory
,,,"San Francisco, CA",1.0,Software Development,Artisan AI (YC W24)
36.0,,Mid-Senior level,"Dallas City, IL",1101.0,Hospitals and Health Care,Professional Case Management
,,Mid-Senior level,"San Francisco, CA",3002.0,Software Development,Samsara
,,Entry level,"Kailua, HI",18914.0,Financial Services,Navy Federal Credit Union
,,,"San Francisco, CA",2.0,Entertainment Providers,Ocean View Stables
,1.0,Mid-Senior level,"Raleigh, NC",2329.0,Financial Services,Affirm
,1.0,Mid-Senior level,United States,2.0,Staffing and Recruiting, EqualIT Solutions
145000.0,,,"San Jose, CA",,,
,,Entry level,"Boise, ID",170.0,Staffing and Recruiting,"Anders Group, LLC"
70000.0,,Mid-Senior level,"South Hill, VA",1849.0,Construction,gpac
,,Associate,"Tempe, AZ",2917.0,Financial Services,DriveTime
28.0,,Entry level,"Pleasant Hill, MO",1101.0,Hospitals and Health Care,Professional Case Management
195000.0,,Director,"Menlo Park, CA",341.0,Biotechnology Research,Corcept Therapeutics
,,Entry level,"Stratford, CA",19485.0,Retail,O'Reilly Auto Parts
,,Entry level,"Dothan, AL",19485.0,Retail,O'Reilly Auto Parts
100000.0,,Entry level,"Dunn, NC",150.0,IT Services and IT Consulting,"Alliance of Professionals & Consultants, Inc. (APC)"
,,Entry level,"Herndon, VA",2250.0,Telecommunications,Cogent Communications
,,Mid-Senior level,Charlotte Metro,2250.0,Telecommunications,Cogent Communications
,,Entry level,"Maywood, IL",2085.0,Hospitals and Health Care,Loyola Medicine
,,Mid-Senior level,Atlanta Metropolitan Area,2250.0,Telecommunications,Cogent Communications
,,Mid-Senior level,Atlanta Metropolitan Area,2250.0,Telecommunications,Cogent Communications
,,Mid-Senior level,"Houston, TX",2250.0,Telecommunications,Cogent Communications
,,Mid-Senior level,"Detroit, MI",2250.0,Telecommunications,Cogent Communications
,,Mid-Senior level,"Herndon, VA",2250.0,Telecommunications,Cogent Communications
76000.0,,Mid-Senior level,"Encinitas, CA",6226.0,Retail,Mattress Firm
,,Mid-Senior level,"Louisville, KY",19163.0,Staffing and Recruiting,Aya Healthcare
,,Associate,"Dallas, TX",117.0,Wholesale,Feizy Rugs
,,,"Sacramento, CA",1527.0,Construction,United Site Services
,,Mid-Senior level,"Hicksville, NY",3.0,Outsourcing and Offshoring Consulting,Vertivert Inc
,,Entry level,"Fairfield, CT",19163.0,Staffing and Recruiting,Aya Healthcare
,,Entry level,"Fairfield, CT",19163.0,Staffing and Recruiting,Aya Healthcare
18.83,,Entry level,"St George, UT",29607.0,Hospitals and Health Care,Intermountain Health
250000.0,1.0,Director,United States,116.0,Business Consulting and Services,Closers.io
,1.0,Mid-Senior level,United States,6120.0,Utilities,PPL Corporation
,,Entry level,"Litchfield Park, AZ",1849.0,Motor Vehicle Manufacturing,gpac
,,Mid-Senior level,"Tallahassee, FL",34379.0,Hospitals and Health Care,DaVita Kidney Care
,,Entry level,"Minneapolis–Saint Paul, WI",18914.0,Financial Services,Navy Federal Credit Union
,,Mid-Senior level,"Louisville, KY",278.0,Manufacturing,PRIME
22.55,,Entry level,"Torrance, CA",2195.0,Hospitals and Health Care,Torrance Memorial
,1.0,Mid-Senior level,"San Jose, CA",2329.0,Financial Services,Affirm
14.95,,Entry level,"Raleigh, NC",150.0,IT Services and IT Consulting,"Alliance of Professionals & Consultants, Inc. (APC)"
,,Mid-Senior level,"South San Francisco, CA",97.0,Biotechnology Research,ORIC Pharmaceuticals Inc.
25000.0,,Mid-Senior level,"Seattle, WA",2250.0,Telecommunications,Cogent Communications
,,Entry level,"Overland Park, KS",2250.0,Telecommunications,Cogent Communications
,,Entry level,"Washington, DC",2250.0,Telecommunications,Cogent Communications
,,Entry level,"Boca Raton, FL",2250.0,Telecommunications,Cogent Communications
18.0,,Entry level,"Phoenix, AZ",44231.0,"Transportation, Logistics, Supply Chain and Storage",DSV - Global Transport and Logistics
20000.0,,Mid-Senior level,San Francisco Bay Area,2250.0,Telecommunications,Cogent Communications
,,Entry level,"Overland Park, KS",2250.0,Telecommunications,Cogent Communications
20000.0,,Mid-Senior level,Denver Metropolitan Area,2250.0,Telecommunications,Cogent Communications
20000.0,,Mid-Senior level,San Francisco Bay Area,2250.0,Telecommunications,Cogent Communications
20000.0,,Mid-Senior level,"La Mirada, CA",2250.0,Telecommunications,Cogent Communications
,,Entry level,"Washington, DC",2250.0,Telecommunications,Cogent Communications
,,Entry level,"Herndon, VA",2250.0,Telecommunications,Cogent Communications
,,Entry level,Atlanta Metropolitan Area,2250.0,Telecommunications,Cogent Communications
45073.0,,Entry level,"Orlando, FL",2250.0,Telecommunications,Cogent Communications
,,Mid-Senior level,"Mesa, AZ",19163.0,Staffing and Recruiting,Aya Healthcare
,,Entry level,"Chicago, IL",1118.0,Computer and Network Security,Wiz
,,Mid-Senior level,"Jersey City, NJ",76267.0,Hospitality,Hyatt Hotels Corporation
,,Associate,"Pittsburgh, PA",289.0,Hospitals and Health Care,Allegheny County Health Department
,,,"Las Vegas, NV",1361.0,Hospitals and Health Care,Unified Women's Healthcare
159300.0,,Director,"Cedar Rapids, IA",11189.0,Defense and Space Manufacturing,"BAE Systems, Inc."
,,Entry level,"Orlando, FL",4854.0,Restaurants,Checkers & Rally’s Drive-In Restaurants
,1.0,Director,"El Segundo, CA",838.0,Civil Engineering,Ardurra
,,Entry level,Atlanta Metropolitan Area,2250.0,Telecommunications,Cogent Communications
,,Entry level,"Washington, DC",2250.0,Telecommunications,Cogent Communications
,,Entry level,"Houston, TX",2250.0,Telecommunications,Cogent Communications
25000.0,,Mid-Senior level,Los Angeles Metropolitan Area,2250.0,Telecommunications,Cogent Communications
,,Mid-Senior level,"Miami, FL",2250.0,Telecommunications,Cogent Communications
,,Mid-Senior level,"Houston, TX",2250.0,Telecommunications,Cogent Communications
20000.0,,Mid-Senior level,"Santa Clara, CA",2250.0,Telecommunications,Cogent Communications
,,Entry level,"Washington, DC",2250.0,Telecommunications,Cogent Communications
,,Entry level,"Washington, DC",2250.0,Telecommunications,Cogent Communications
,,Entry level,"Tempe, AZ",391.0,Mental Health Care,La Frontera EMPACT - Suicide Prevention Center
,,Entry level,"Houston, TX",4207.0,Financial Services,Frost
,,Entry level,"Washington, DC",1617.0,Legal Services,Davis Wright Tremaine LLP
205000.0,,Mid-Senior level,"Seattle, WA",1617.0,Legal Services,Davis Wright Tremaine LLP
,,,"Las Vegas, NV",1361.0,Hospitals and Health Care,Unified Women's Healthcare
,,Entry level,"Los Angeles, CA",643.0,Spectator Sports,LA Clippers
,,Mid-Senior level,"Lebanon, PA",19163.0,Staffing and Recruiting,Aya Healthcare
,,Mid-Senior level,"Indianapolis, IN",19163.0,Staffing and Recruiting,Aya Healthcare
,,Mid-Senior level,"High Point, NC",18765.0,"Transportation, Logistics, Supply Chain and Storage","GXO Logistics, Inc."
,,Mid-Senior level,"Charlotte, NC",18765.0,"Transportation, Logistics, Supply Chain and Storage","GXO Logistics, Inc."
,,Mid-Senior level,"Santa Barbara, CA",19163.0,Staffing and Recruiting,Aya Healthcare
39200.0,,Entry level,"Fresno, CA",5093.0,Manufacturing,Lennox International
50000.0,1.0,Associate,United States,967.0,Wholesale Building Materials,dormakaba Americas
,,Entry level,"Memphis, TN",69180.0,Retail,Nike
,,Entry level,"Clearwater, FL",379.0,Machinery Manufacturing,Pneumatic Scale Angelus
,,Mid-Senior level,"Glendale, CA",19163.0,Staffing and Recruiting,Aya Healthcare
,,Mid-Senior level,"Florence, SC",19163.0,Staffing and Recruiting,Aya Healthcare
,,Entry level,"San Marcos, TX",2506.0,Retail Apparel and Fashion,Tommy Bahama
,,Entry level,"Bloomington, IL",20242.0,Retail,Advance Auto Parts
,,Mid-Senior level,"Roanoke, VA",19163.0,Staffing and Recruiting,Aya Healthcare
,,Internship,"Austin, TX",8682.0,Accounting,CLA (CliftonLarsonAllen)
,,,"San Carlos, CA",1168.0,Aviation and Aerospace Component Manufacturing,Joby Aviation
17.5,,Mid-Senior level,"Federal Way, WA",34379.0,Hospitals and Health Care,DaVita Kidney Care
,,Mid-Senior level,"Everett, WA",19163.0,Staffing and Recruiting,Aya Healthcare
,,Mid-Senior level,"Detroit, MI",381.0,Facilities Services,Equans Services Canada & US
15.0,,Entry level,"New York, NY",7579.0,Sporting Goods Manufacturing,New Balance
120000.0,,Director,New York City Metropolitan Area,2250.0,Telecommunications,Cogent Communications
,,Mid-Senior level,"Sterling, VA",2250.0,Telecommunications,Cogent Communications
,,Mid-Senior level,Charlotte Metro,2250.0,Telecommunications,Cogent Communications
25000.0,,Mid-Senior level,New York City Metropolitan Area,2250.0,Telecommunications,Cogent Communications
20000.0,,Mid-Senior level,San Francisco Bay Area,2250.0,Telecommunications,Cogent Communications
45073.0,,Entry level,"Charleston, SC",2250.0,Telecommunications,Cogent Communications
144000.0,,Mid-Senior level,"Durham, NC",27355.0,Computers and Electronics Manufacturing,NVIDIA
309588.0,,Mid-Senior level,"Everett, WA",88.0,Hospitals and Health Care,Provider Solutions & Development
80000.0,,Mid-Senior level,"Wilmington, Delaware, United States",1303.0,Furniture and Home Furnishings Manufacturing,"Bassett Furniture Industries, Inc."
76000.0,,Mid-Senior level,"Oceanside, CA",6226.0,Retail,Mattress Firm
,,Director,"Houston, TX",16410.0,Hospitals and Health Care,Memorial Hermann Health System
,,Entry level,"Glasgow, DE",4846.0,Hospitality,Stonegate Group
180000.0,1.0,Mid-Senior level,United States,266.0,Software Development,Lambda
,,Mid-Senior level,"Memphis, TN",19163.0,Staffing and Recruiting,Aya Healthcare
,,Director,"Atlanta, GA",1207.0,IT Services and IT Consulting,Vantage Data Centers
13.5,,Entry level,"Pooler, GA",719.0,Retail Apparel and Fashion,J.Crew Factory
16.6,,Entry level,"Torrance, CA",2195.0,Hospitals and Health Care,Torrance Memorial
,,Mid-Senior level,"Redlands, CA",19163.0,Staffing and Recruiting,Aya Healthcare
,,Entry level,"San Gabriel, CA",19163.0,Staffing and Recruiting,Aya Healthcare
56700.0,,Associate,"Lake Forest, IL",126298.0,Hospitals and Health Care,Abbott
,,,"Tyler, TX",23192.0,Hospitals and Health Care,CHRISTUS Health
,,,"Shreveport, LA",23192.0,Hospitals and Health Care,CHRISTUS Health
,,Entry level,"Fond du Lac, WI",19163.0,Staffing and Recruiting,Aya Healthcare
,,,"San Marcos, TX",23192.0,Hospitals and Health Care,CHRISTUS Health
,,Mid-Senior level,"Brighton, MI",500.0,Hospitals and Health Care,Trinity Health MI
,,,"Jackson, TN",7450.0,Food and Beverage Manufacturing,Conagra Brands
,,,"Beaverton, OR",23627.0,Packaging and Containers Manufacturing,International Paper
,,Mid-Senior level,"Midland, TX",19163.0,Staffing and Recruiting,Aya Healthcare
,,Mid-Senior level,"Grand Junction, CO",170.0,Staffing and Recruiting,"Anders Group, LLC"
,,Entry level,"Williamsburg, VA",69180.0,Retail,Nike
62000.0,,Associate,"Broomfield, CO",1981.0,Civil Engineering,Flatiron Construction
80000.0,1.0,Mid-Senior level,United States,291.0,Machinery Manufacturing,BW Flexible Systems
,,Entry level,"Orlando, FL",69180.0,Retail,Nike
,,Mid-Senior level,"Charlottesville, VA",19163.0,Staffing and Recruiting,Aya Healthcare
80850.0,,Mid-Senior level,"Seattle, WA",2506.0,Retail Apparel and Fashion,Tommy Bahama
,,Entry level,"Fayetteville, GA",19163.0,Staffing and Recruiting,Aya Healthcare
28.0,,Mid-Senior level,"West Plains, MO",19163.0,Staffing and Recruiting,Aya Healthcare
,,Entry level,"Colorado Springs, CO",20242.0,Retail,Advance Auto Parts
100000.0,1.0,Mid-Senior level,"Columbus, OH",10301.0,Business Consulting and Services,Turner & Townsend
,,,"Seattle, WA",130021.0,Retail,Starbucks
,,Entry level,"Ann Arbor, MI",500.0,Hospitals and Health Care,Trinity Health MI
,,Entry level,"Wilkes-Barre, PA",19163.0,Staffing and Recruiting,Aya Healthcare
,,Mid-Senior level,"Jackson, TN",19163.0,Staffing and Recruiting,Aya Healthcare
23.9,,,"Minneapolis, MN",10832.0,Utilities,Xcel Energy
